Score	readsNum	readsBases
41	0	0
40	0	0
39	0	0
38	165364	39444097
37	257920	62530943
36	171532	41960903
35	135488	33319391
34	114432	28229972
33	97770	24169185
32	84450	20906730
31	74128	18387444
30	64713	16072908
29	56803	14114342
28	49836	12400374
27	43836	10922831
26	38800	9679496
25	33710	8418737
24	29196	7298803
23	25386	6351342
22	21440	5368125
21	18000	4507981
20	13825	3463217
19	8989	2251411
18	4220	1057198
17	1360	340531
16	357	89317
15	78	19546
14	12	3005
13	0	0
12	0	0
11	0	0
10	0	0
9	0	0
8	0	0
7	0	0
6	0	0
5	0	0
4	0	0
3	0	0
2	0	0
1	0	0
0	0	0
