Sample,Reference Contig,NCBI Accession,Organism,TASS Score,TALOS Run Date,Ref Size,Mapped Reads,ANIr,% Reads Aligned,Average Read Length,Average MAPQ,Alignment Quality (Evalue),Positions Mapped,% Breadth Coverage,Mean Depth,Depth Stdev,Depth Evenness (Gini)
positive_control_4_ref_reference,ENA|AF101982|AF101982.1,GCF_000820495.2,Influenza B virus,97.078,2026-06-26,2313,1.0,100.0,14.285714285714285,2154.0,60.0,2.103e-08,2154.0,93.1258,1.0,0.0,1.0
positive_control_4_ref_reference,ENA|AF102017|AF102017.1,GCF_000820495.2,Influenza B virus,97.204,2026-06-26,2204,1.0,100.0,14.285714285714285,2059.0,60.0,2.01e-08,2059.0,93.4211,1.0,0.0,1.0
positive_control_4_ref_reference,ENA|J02094|J02094.1,GCF_000820495.2,Influenza B virus,94.505,2026-06-26,1191,1.0,100.0,14.285714285714285,1037.0,60.0,1.012e-08,1037.0,87.0697,1.0,0.0,1.0
positive_control_4_ref_reference,ENA|J02095|J02095.1,GCF_000820495.2,Influenza B virus,96.042,2026-06-26,1557,1.0,100.0,14.285714285714285,1412.0,60.0,1.378e-08,1412.0,90.6872,1.0,0.0,1.0
positive_control_4_ref_reference,ENA|K00423|K00423.1,GCF_000820495.2,Influenza B virus,96.884,2026-06-26,1882,1.0,100.0,14.285714285714285,1744.0,60.0,1.702e-08,1744.0,92.6674,1.0,0.0,1.0
positive_control_4_ref_reference,ENA|K01395|K01395.1,GCF_000820495.2,Influenza B virus,97.022,2026-06-26,1841,1.0,100.0,14.285714285714285,1712.0,60.0,1.671e-08,1712.0,92.9929,1.0,0.0,1.0
positive_control_4_ref_reference,ENA|M14880|M14880.1,GCF_000820495.2,Influenza B virus,97.739,2026-06-26,2368,1.0,100.0,14.285714285714285,2242.0,60.0,2.189e-08,2242.0,94.6791,1.0,0.0,1.0
positive_control_1_ref_reference,ENA|AF101982|AF101982.1,GCF_000820495.2,Influenza B virus,98.034,2026-06-26,2313,1.0,100.0,14.285714285714285,2206.0,60.0,2.153e-08,2206.0,95.374,1.0,0.0,1.0
positive_control_1_ref_reference,ENA|AF102017|AF102017.1,GCF_000820495.2,Influenza B virus,98.207,2026-06-26,2204,1.0,100.0,14.285714285714285,2111.0,60.0,2.061e-08,2111.0,95.7804,1.0,0.0,1.0
positive_control_1_ref_reference,ENA|J02094|J02094.1,GCF_000820495.2,Influenza B virus,96.36,2026-06-26,1191,1.0,100.0,14.285714285714285,1089.0,60.0,1.063e-08,1089.0,91.4358,1.0,0.0,1.0
positive_control_1_ref_reference,ENA|J02095|J02095.1,GCF_000820495.2,Influenza B virus,97.461,2026-06-26,1557,1.0,100.0,14.285714285714285,1464.0,60.0,1.429e-08,1464.0,94.027,1.0,0.0,1.0
positive_control_1_ref_reference,ENA|K00423|K00423.1,GCF_000820495.2,Influenza B virus,98.058,2026-06-26,1882,1.0,100.0,14.285714285714285,1796.0,60.0,1.753e-08,1796.0,95.4304,1.0,0.0,1.0
positive_control_1_ref_reference,ENA|K01395|K01395.1,GCF_000820495.2,Influenza B virus,98.222,2026-06-26,1841,1.0,100.0,14.285714285714285,1764.0,60.0,1.722e-08,1764.0,95.8175,1.0,0.0,1.0
positive_control_1_ref_reference,ENA|M14880|M14880.1,GCF_000820495.2,Influenza B virus,98.672,2026-06-26,2368,1.0,100.0,14.285714285714285,2294.0,60.0,2.239e-08,2294.0,96.875,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|AF101982|AF101982.1,GCF_000820495.2,Influenza B virus,98.916,2026-06-26,2313,1.0,100.0,12.5,2254.0,60.0,2.2e-08,2254.0,97.4492,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|AF102017|AF102017.1,GCF_000820495.2,Influenza B virus,99.132,2026-06-26,2204,1.0,100.0,12.5,2159.0,60.0,2.108e-08,2159.0,97.9583,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|J02094|J02094.1,GCF_000820495.2,Influenza B virus,98.073,2026-06-26,1191,1.0,100.0,12.5,1137.0,60.0,1.11e-08,1137.0,95.466,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|J02095|J02095.1,GCF_000820495.2,Influenza B virus,98.772,2026-06-26,1557,1.0,100.0,12.5,1512.0,60.0,1.476e-08,1512.0,97.1098,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|J02096|J02096.1,GCF_000820495.2,Influenza B virus,98.1,2026-06-26,1096,1.0,100.0,12.5,1047.0,60.0,1.022e-08,1047.0,95.5292,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|K00423|K00423.1,GCF_000820495.2,Influenza B virus,99.142,2026-06-26,1882,1.0,100.0,12.5,1844.0,60.0,1.8e-08,1844.0,97.9809,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|K01395|K01395.1,GCF_000820495.2,Influenza B virus,99.307625,2026-06-26,1841,1.0,99.945,12.5,1812.0,60.0,1.769e-08,1812.0,98.4248,1.0,0.0,1.0
positive_control_3_ref_reference,ENA|M14880|M14880.1,GCF_000820495.2,Influenza B virus,99.533,2026-06-26,2368,1.0,100.0,12.5,2342.0,60.0,2.286e-08,2342.0,98.902,1.0,0.0,1.0
positive_control_5_ref_reference,ENA|AF101982|AF101982.1,GCF_000820495.2,Influenza B virus,97.078,2026-06-26,2313,1.0,100.0,14.285714285714285,2154.0,60.0,2.103e-08,2154.0,93.1258,1.0,0.0,1.0
positive_control_5_ref_reference,ENA|AF102017|AF102017.1,GCF_000820495.2,Influenza B virus,97.204,2026-06-26,2204,1.0,100.0,14.285714285714285,2059.0,60.0,2.01e-08,2059.0,93.4211,1.0,0.0,1.0
positive_control_5_ref_reference,ENA|J02094|J02094.1,GCF_000820495.2,Influenza B virus,94.505,2026-06-26,1191,1.0,100.0,14.285714285714285,1037.0,60.0,1.012e-08,1037.0,87.0697,1.0,0.0,1.0
positive_control_5_ref_reference,ENA|J02095|J02095.1,GCF_000820495.2,Influenza B virus,96.042,2026-06-26,1557,1.0,100.0,14.285714285714285,1412.0,60.0,1.378e-08,1412.0,90.6872,1.0,0.0,1.0
positive_control_5_ref_reference,ENA|K00423|K00423.1,GCF_000820495.2,Influenza B virus,96.884,2026-06-26,1882,1.0,100.0,14.285714285714285,1744.0,60.0,1.702e-08,1744.0,92.6674,1.0,0.0,1.0
positive_control_5_ref_reference,ENA|K01395|K01395.1,GCF_000820495.2,Influenza B virus,97.022,2026-06-26,1841,1.0,100.0,14.285714285714285,1712.0,60.0,1.671e-08,1712.0,92.9929,1.0,0.0,1.0
positive_control_5_ref_reference,ENA|M14880|M14880.1,GCF_000820495.2,Influenza B virus,97.739,2026-06-26,2368,1.0,100.0,14.285714285714285,2242.0,60.0,2.189e-08,2242.0,94.6791,1.0,0.0,1.0
positive_control_2_ref_reference,ENA|AF101982|AF101982.1,GCF_000820495.2,Influenza B virus,97.887,2026-06-26,2313,1.0,100.0,14.285714285714285,2198.0,60.0,2.146e-08,2198.0,95.0281,1.0,0.0,1.0
positive_control_2_ref_reference,ENA|AF102017|AF102017.1,GCF_000820495.2,Influenza B virus,98.052,2026-06-26,2204,1.0,100.0,14.285714285714285,2103.0,60.0,2.053e-08,2103.0,95.4174,1.0,0.0,1.0
positive_control_2_ref_reference,ENA|J02094|J02094.1,GCF_000820495.2,Influenza B virus,96.075,2026-06-26,1191,1.0,100.0,14.285714285714285,1081.0,60.0,1.055e-08,1081.0,90.7641,1.0,0.0,1.0
positive_control_2_ref_reference,ENA|J02095|J02095.1,GCF_000820495.2,Influenza B virus,97.243,2026-06-26,1557,1.0,100.0,14.285714285714285,1456.0,60.0,1.421e-08,1456.0,93.5132,1.0,0.0,1.0
positive_control_2_ref_reference,ENA|K00423|K00423.1,GCF_000820495.2,Influenza B virus,97.877,2026-06-26,1882,1.0,100.0,14.285714285714285,1788.0,60.0,1.745e-08,1788.0,95.0053,1.0,0.0,1.0
positive_control_2_ref_reference,ENA|K01395|K01395.1,GCF_000820495.2,Influenza B virus,98.038,2026-06-26,1841,1.0,100.0,14.285714285714285,1756.0,60.0,1.714e-08,1756.0,95.3829,1.0,0.0,1.0
positive_control_2_ref_reference,ENA|M14880|M14880.1,GCF_000820495.2,Influenza B virus,98.528,2026-06-26,2368,1.0,100.0,14.285714285714285,2286.0,60.0,2.232e-08,2286.0,96.5372,1.0,0.0,1.0
