Gene	Strand
mtrR-CDEprom	forward
mtrR	forward
penA	reverse
ponA	forward
pilQ	reverse
gyrA	reverse
parC	forward
rpsJ	reverse
ftsX	reverse
rplD	reverse
macA	reverse
mtrD	reverse
macA_and_prom	reverse
norMprom	reverse
gyrB	forward
acnB	forward
rpsE	reverse
