snp-dists 0.8.2	Reference	SRR11904202	SRR11904206	SRR11904216	SRR11904361	SRR9877719	SRR9878333	SRR9985899
Reference	0	3209	2529	2609	2789	2999	3086	2444
SRR11904202	3209	0	2246	2038	2304	2696	2841	2226
SRR11904206	2529	2246	0	1132	969	1317	2081	389
SRR11904216	2609	2038	1132	0	796	1600	2254	1195
SRR11904361	2789	2304	969	796	0	1526	2303	1125
SRR9877719	2999	2696	1317	1600	1526	0	2454	1414
SRR9878333	3086	2841	2081	2254	2303	2454	0	2033
SRR9985899	2444	2226	389	1195	1125	1414	2033	0
